frame,objeto detectado,confianza,id,x_center_norm,y_center_norm
338,Speed Limit 80,0.26,,0.802976,0.496435
338,Speed Limit 60,0.22,,0.083698,0.50571
338,Speed Limit 50,0.14,,0.803135,0.497052
339,Speed Limit 80,0.26,,0.802984,0.496435
339,Speed Limit 60,0.22,,0.083681,0.505699
339,Speed Limit 50,0.14,,0.803148,0.497037
340,Speed Limit 120,0.33,,0.856556,0.483746
340,Speed Limit 80,0.18,,0.856008,0.484445
340,Speed Limit 50,0.11,,0.856723,0.484341
341,Speed Limit 110,0.32,,0.918515,0.467246
341,Speed Limit 50,0.15,,0.918262,0.467118
341,Speed Limit 120,0.13,,0.918259,0.467647
342,Red Light,0.85,,0.553399,0.506745
342,Red Light,0.81,,0.646968,0.502859
343,Red Light,0.9,,0.489563,0.505047
343,Red Light,0.83,,0.587325,0.50514
344,Red Light,0.91,,0.39362,0.498262
344,Red Light,0.62,,0.501462,0.500176
344,Red Light,0.11,,0.450256,0.532762
345,Red Light,0.84,209,0.384964,0.495126
345,Red Light,0.76,210,0.496528,0.497316
346,Red Light,0.73,209,0.383221,0.487715
347,Red Light,0.8,209,0.376186,0.48108
347,Red Light,0.79,211,0.514739,0.482112
348,Red Light,0.74,209,0.368188,0.476219
348,Red Light,0.84,211,0.515682,0.47718
349,Red Light,0.87,209,0.3586,0.470024
349,Red Light,0.92,211,0.516899,0.470698
350,Red Light,0.86,209,0.349075,0.46429
350,Red Light,0.84,211,0.518514,0.464013
350,Green Light,0.8,212,0.455028,0.527558
351,Red Light,0.94,211,0.522607,0.443054
351,Green Light,0.89,212,0.452828,0.526056
352,Red Light,0.95,211,0.527811,0.415422
352,Green Light,0.88,212,0.450505,0.525635
352,Green Light,0.63,214,0.506479,0.526471
353,Red Light,0.98,211,0.537356,0.372712
353,Green Light,0.65,212,0.448063,0.524871
353,Green Light,0.77,214,0.506657,0.52474
354,Green Light,0.4,212,0.444186,0.523682
354,Green Light,0.74,214,0.506838,0.522648
356,Speed Limit 110,0.13,,0.772886,0.527411
357,Green Light,0.76,,0.43264,0.513788
357,Green Light,0.71,,0.507716,0.514226
357,Green Light,0.24,,0.435363,0.516376
358,Green Light,0.27,,0.753463,0.453537
359,Green Light,0.83,210,0.508589,0.511526
360,Speed Limit 110,0.29,,0.89538,0.508303
361,Speed Limit 120,0.18,,0.930554,0.501708
361,Speed Limit 110,0.12,,0.930598,0.501998
362,Green Light,0.86,210,0.510047,0.509934
364,Green Light,0.9,210,0.510076,0.506311
365,Green Light,0.77,222,0.407802,0.500817
365,Green Light,0.85,210,0.509981,0.502378
366,Green Light,0.77,222,0.403406,0.497471
366,Green Light,0.91,210,0.510726,0.498651
367,Green Light,0.92,222,0.394036,0.491495
367,Green Light,0.86,210,0.51189,0.493516
